120.5  0.00883447 0.00230434
121  0.00912637 0.00232465
121.5  0.00921767 0.00233637
122  0.00987516 0.00227032
122.5  0.00975503 0.00226223
123  0.00984713 0.00222111
123.5  0.0100181 0.0021937
124  0.0100694 0.00212351
124.5  0.0100097 0.00205927
125  0.00983271 0.00199669
125.5  0.00985554 0.00197621
126  0.00962409 0.00189116
126.5  0.00975663 0.00185995
127  0.00945672 0.0017929
127.5  0.0092481 0.00172982
128  0.00930256 0.00174072
128.5  0.0090575 0.00168342
129  0.00891575 0.00169679
129.5  0.0086811 0.00165914
130  0.00862224 0.0016925
130.5  0.00838239 0.00161703
131  0.00841723 0.00162612
131.5  0.00815776 0.00157674
132  0.00811451 0.00158103
132.5  0.00763321 0.00156188
133  0.00727243 0.00154272
133.5  0.00721957 0.00148971
134  0.00680153 0.00149929
134.5  0.00659171 0.00143109
135  0.0061929 0.00148096
135.5  0.00591661 0.00144479
136  0.00567715 0.00142679
136.5  0.00537844 0.00145355
137  0.00497962 0.00144991
137.5  0.00471895 0.00150722
138  0.00441944 0.00153446
138.5  0.00442264 0.00156749
139  0.0040971 0.00156634
139.5  0.00386886 0.00154503
140  0.0037139 0.00156303
140.5  0.00357375 0.00158533
141  0.0034368 0.00162975
141.5  0.00328865 0.00160927
142  0.00318374 0.00167169
142.5  0.00319175 0.00170984
143  0.00291586 0.00169432
143.5  0.00296751 0.00174551
144  0.00283577 0.00179654
144.5  0.00281175 0.00188736
145  0.00281896 0.00193773
145.5  0.00272125 0.00205614
146  0.00263276 0.0021856
146.5  0.00266439 0.00236065
147  0.00261434 0.00239946
147.5  0.00260673 0.00252876
148  0.00264598 0.00264551
148.5  0.00255348 0.00271751
149  0.00247019 0.00285524
149.5  0.00255588 0.00285309
150  0.00249462 0.00300865
150.5  0.00247139 0.00300865
151  0.00242935 0.00301195
151.5  0.00240893 0.00300518
152  0.00222714 0.00306695
152.5  0.00221232 0.00308412
153  0.00213664 0.00313317
153.5  0.00202532 0.00311616
154  0.00202172 0.0031728
154.5  0.00183512 0.00315926
155  0.00168136 0.00313151
155.5  0.00166174 0.00312161
156  0.00145753 0.00315678
156.5  0.00142509 0.0030681
157  0.00137985 0.00306051
157.5  0.00121087 0.00299841
158  0.00108113 0.00292575
158.5  0.00109595 0.00287555
159  0.000956203 0.00275417
159.5  0.000894538 0.00273023
160  0.000837679 0.00259779
160.5  0.000844085 0.00256905
161  0.000812452 0.00249639
161.5  0.000803643 0.00238393
162  0.000793232 0.00238047
162.5  0.000662295 0.00231606
163  0.000687521 0.0022472
163.5  0.000615045 0.00228089
164  0.000642674 0.00230929
164.5  0.000609439 0.00223036
165  0.000605835 0.00223911
165.5  0.000564993 0.00227197
166  0.000528554 0.00229476
166.5  0.000529355 0.00230946
167  0.000507733 0.00234893
167.5  0.00044767 0.00237171
168  0.000442464 0.00237304
168.5  0.000382801 0.00242555
169  0.000359978 0.0023874
169.5  0.000315531 0.00230995
170  0.000311927 0.00237601
170.5  0.000287902 0.00230252
171  0.000263076 0.00230913
171.5  0.000220231 0.0021894
172  0.000225436 0.00212797
172.5  0.000164973 0.00209593
173  0.000155363 0.00195424
173.5  0.000129336 0.00188736
174  0.000102508 0.0017934
174.5  9.04949e-05 0.00165716
175  7.12748e-05 0.00148344
175.5  5.96626e-05 0.00137544
176  4.68491e-05 0.00120799
176.5  4.36458e-05 0.00103343
177  3.5237e-05 0.000888278
177.5  3.20336e-05 0.000753856
178  1.84193e-05 0.000596809
178.5  1.92202e-05 0.000443231
179  5.60588e-06 0.00029923
179.5  8.0084e-07 0.000118899
180  0 0
0  0 0
