2860001 4.07034  -38.7492
2870001 3.9872  -38.7312
2880001 4.04272  -38.7648
2890001 4.00529  -38.7465
2900001 4.04437  -38.7275
2910001 4.05575  -38.7635
2920001 4.02724  -38.7539
2930001 4.06035  -38.749
2940001 4.00113  -38.7436
2950001 4.02462  -38.7791
2960001 4.03357  -38.7448
2970001 4.04967  -38.7432
2980001 4.07177  -38.7484
2990001 4.05682  -38.7553
3000001 4.02936  -38.7482
3010001 4.03635  -38.7663
3020001 4.03078  -38.7583
3030001 4.06172  -38.739
3040001 4.01156  -38.7674
3050001 4.14772  -38.7585
3060001 4.06795  -38.7566
3070001 4.05749  -38.7435
3080001 3.99979  -38.7409
3090001 4.07497  -38.7788
3100001 4.03731  -38.7458
3110001 4.06522  -38.7329
3120001 4.08688  -38.738
3130001 4.09277  -38.7563
3140001 4.01171  -38.7699
3150001 4.02469  -38.7493
3160001 4.03496  -38.7607
3170001 4.01871  -38.7481
3180001 4.00515  -38.7495
3190001 4.02062  -38.742
3200001 4.01921  -38.747
3210001 4.01885  -38.7549
3220001 4.03713  -38.7786
3230001 4.0139  -38.7435
3240001 4.0316  -38.7545
3250001 4.06598  -38.7685
3260001 4.05011  -38.7417
3270001 4.03975  -38.7642
3280001 4.08942  -38.7644
3290001 4.06517  -38.7517
3300001 4.00467  -38.754
3310001 4.00183  -38.7675
3320001 4.06902  -38.7777
3330001 4.06271  -38.7582
3340001 4.06821  -38.7688
3350001 4.05154  -38.7576
3360001 4.03619  -38.743
3370001 4.05562  -38.7331
3380001 4.04952  -38.7689
3390001 4.07252  -38.7802
3400001 4.05058  -38.7452
3410001 4.01915  -38.7463
3420001 4.04115  -38.745
3430001 4.06333  -38.7547
3440001 4.04432  -38.7629
3450001 4.06741  -38.7632
3460001 4.08228  -38.7596
3470001 4.08056  -38.7589
3480001 4.10928  -38.751
3490001 4.07005  -38.757
3500001 4.06867  -38.7485
3510001 4.06781  -38.7422
3520001 4.0422  -38.7661
3530001 4.09625  -38.7475
3540001 4.03191  -38.7394
3550001 4.01718  -38.7207
3560001 4.00609  -38.749
3570001 4.07422  -38.7719
3580001 4.07989  -38.7388
3590001 4.09849  -38.7699
3600001 4.05574  -38.7757
3610001 3.99887  -38.7463
3620001 4.0419  -38.7763
3630001 4.05147  -38.7603
3640001 4.04318  -38.7554
3650001 4.04519  -38.7513
3660001 4.04844  -38.7752
3670001 4.05546  -38.7652
3680001 4.04049  -38.7643
3690001 4.0477  -38.7656
3700001 4.0301  -38.7726
3710001 4.01541  -38.7714
3720001 4.04908  -38.761
3730001 4.03438  -38.768
3740001 4.02552  -38.7433
3750001 4.03359  -38.759
